objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
1,Head Portrait,Liu Bolin,2012,Archival Pigment Print,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/liu-bolin-head-portrait-2)",,,,,,,,,,
2,Red Flower Face of Mao,Zhang Wanxing,2011,High-fired clay with glaze,,,China,,,,Image,Image,Chinese,,,,"[Link](https://cclarkgallery.com/artists/series/wanxin-zhang/early-works#slide6)",,,,,,,,,,
3,MAO vs MARILYN,Alex Guofeng Cao,2009,Chromogenic Print in Dibond Plexiglass,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/alex-guofeng-cao-mao-vs-marilyn)",,,,,,,,,,
4,Mao,Ren Zhenyu,2008,Oil on Canvas,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/ren-zhenyu-mao-1)",,,,,,,,,,
5,Mao, Spring Landscape,Huang Yan,2008,Painting, Oil on canvas,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.mutualart.com/Artwork/Mao--Spring-Landscape/FFC3228ECBB05042)",,,,,,,,,,
6,Untitled (Mao),Xue Song,2007,Collage and acrylic on canvas,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/xue-song-xie-song-untitled-mao)",,,,,,,,,,
7,Untitled (Woman with Roses),Xue Song,2007,Collage and acrylic on canvas,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/xue-song-xie-song-untitled-woman-with-roses)",,,,,,,,,,
8,Welcome to the World’s Most Famous Brand,Luo Brothers,2006,Lacquer and paint on carved wood,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/luo-brothers-welcome-to-the-worlds-most-famous-brand-relied-fish-and-7-up)",,,,,,,,,,
9,Sailing in the Great Sea Depends on the Helmsman,Huang Yan,2006,Porcelain,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.conceptioart.com/artists/huangyan.html)",,,,,,,,,,
10,Rouge Series- Mao,Li Shan,2005,Oil and collage on canvas,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/li-shan-li-shan-b-1942-rouge-series-mao-2)",,,,,,,,,,
11,Tiananmen,Zeng Fanzhi,2004,Oil on canvas,,,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artnet.com/artists/zeng-fanzhi/tiananmen-F-oMI8x_34isdlzPq5iA-g2)",,,,,,,,,,
12,Mao Chinese Vermilion #6,Yan Peiming,2001,"Three I. 29 1/8 x 29 1/8 in. (74 x 74 cm)
one I. 37 1/8 x 29 1/2 in. (94.3 x 74.9 cm)
all S. 47 x 31 1/2 in. (119.4 x 80 cm)",Icons,China,,,,Image,Image,Chinese,,,,"[Link](https://www.artsy.net/artwork/yan-pei-ming-icons-5)",,,,,,,,,,
